"COUNTRY","Country","POLLUTANT","Pollutant","ACTIVITY","Activity - NACE 2","MEASURE","Measure","EMISSION","Emissions","YEA","Year","Value","Flag Codes","Flags"
"RUS","Russia","N2O","Nitrous oxide","C22-C23","Manufacture of rubber and plastic products and other non-metallic mineral products","TCO2E","tonnes of CO2-equivalent OECD estimate","TOTAL","Total Emissions","2019","2019",50630,,
"RUS","Russia","CO2","Carbon dioxide","C22-C23","Manufacture of rubber and plastic products and other non-metallic mineral products","TCO2E","tonnes of CO2-equivalent OECD estimate","COMBUSTION","Combustion","2007","2007",2735090,,
"RUS","Russia","CO2","Carbon dioxide","C22-C23","Manufacture of rubber and plastic products and other non-metallic mineral products","TCO2E","tonnes of CO2-equivalent OECD estimate","COMBUSTION","Combustion","2008","2008",32360420,,
"RUS","Russia","CO2","Carbon dioxide","C22-C23","Manufacture of rubber and plastic products and other non-metallic mineral products","TCO2E","tonnes of CO2-equivalent OECD estimate","COMBUSTION","Combustion","2009","2009",29299130,,
"RUS","Russia","CO2","Carbon dioxide","C22-C23","Manufacture of rubber and plastic products and other non-metallic mineral products","TCO2E","tonnes of CO2-equivalent OECD estimate","COMBUSTION","Combustion","2010","2010",29805480,,
"RUS","Russia","CO2","Carbon dioxide","C22-C23","Manufacture of rubber and plastic products and other non-metallic mineral products","TCO2E","tonnes of CO2-equivalent OECD estimate","COMBUSTION","Combustion","2011","2011",32864360,,
"RUS","Russia","CO2","Carbon dioxide","C22-C23","Manufacture of rubber and plastic products and other non-metallic mineral products","TCO2E","tonnes of CO2-equivalent OECD estimate","COMBUSTION","Combustion","2012","2012",35966030,,
"RUS","Russia","CO2","Carbon dioxide","C22-C23","Manufacture of rubber and plastic products and other non-metallic mineral products","TCO2E","tonnes of CO2-equivalent OECD estimate","COMBUSTION","Combustion","2013","2013",34712760,,
"RUS","Russia","CO2","Carbon dioxide","C22-C23","Manufacture of rubber and plastic products and other non-metallic mineral products","TCO2E","tonnes of CO2-equivalent OECD estimate","COMBUSTION","Combustion","2014","2014",33122910,,
"RUS","Russia","CO2","Carbon dioxide","C22-C23","Manufacture of rubber and plastic products and other non-metallic mineral products","TCO2E","tonnes of CO2-equivalent OECD estimate","COMBUSTION","Combustion","2015","2015",27335170,,
"RUS","Russia","CO2","Carbon dioxide","C22-C23","Manufacture of rubber and plastic products and other non-metallic mineral products","TCO2E","tonnes of CO2-equivalent OECD estimate","COMBUSTION","Combustion","2016","2016",28570860,,
"RUS","Russia","CO2","Carbon dioxide","C22-C23","Manufacture of rubber and plastic products and other non-metallic mineral products","TCO2E","tonnes of CO2-equivalent OECD estimate","COMBUSTION","Combustion","2017","2017",27059870,,
"RUS","Russia","CO2","Carbon dioxide","C22-C23","Manufacture of rubber and plastic products and other non-metallic mineral products","TCO2E","tonnes of CO2-equivalent OECD estimate","COMBUSTION","Combustion","2018","2018",25166310,,
"RUS","Russia","CO2","Carbon dioxide","C22-C23","Manufacture of rubber and plastic products and other non-metallic mineral products","TCO2E","tonnes of CO2-equivalent OECD estimate","COMBUSTION","Combustion","2019","2019",25546420,,
"RUS","Russia","CH4","Methane","C22-C23","Manufacture of rubber and plastic products and other non-metallic mineral products","TCO2E","tonnes of CO2-equivalent OECD estimate","COMBUSTION","Combustion","2007","2007",17390,,
"RUS","Russia","CH4","Methane","C22-C23","Manufacture of rubber and plastic products and other non-metallic mineral products","TCO2E","tonnes of CO2-equivalent OECD estimate","COMBUSTION","Combustion","2008","2008",40670,,
"RUS","Russia","CH4","Methane","C22-C23","Manufacture of rubber and plastic products and other non-metallic mineral products","TCO2E","tonnes of CO2-equivalent OECD estimate","COMBUSTION","Combustion","2009","2009",38110,,
"RUS","Russia","CH4","Methane","C22-C23","Manufacture of rubber and plastic products and other non-metallic mineral products","TCO2E","tonnes of CO2-equivalent OECD estimate","COMBUSTION","Combustion","2010","2010",37240,,
"RUS","Russia","CH4","Methane","C22-C23","Manufacture of rubber and plastic products and other non-metallic mineral products","TCO2E","tonnes of CO2-equivalent OECD estimate","COMBUSTION","Combustion","2011","2011",41850,,
"RUS","Russia","CH4","Methane","C22-C23","Manufacture of rubber and plastic products and other non-metallic mineral products","TCO2E","tonnes of CO2-equivalent OECD estimate","COMBUSTION","Combustion","2012","2012",44680,,
"RUS","Russia","CH4","Methane","C22-C23","Manufacture of rubber and plastic products and other non-metallic mineral products","TCO2E","tonnes of CO2-equivalent OECD estimate","COMBUSTION","Combustion","2013","2013",40800,,
"RUS","Russia","CH4","Methane","C22-C23","Manufacture of rubber and plastic products and other non-metallic mineral products","TCO2E","tonnes of CO2-equivalent OECD estimate","COMBUSTION","Combustion","2014","2014",39520,,
"RUS","Russia","CH4","Methane","C22-C23","Manufacture of rubber and plastic products and other non-metallic mineral products","TCO2E","tonnes of CO2-equivalent OECD estimate","COMBUSTION","Combustion","2015","2015",37440,,
"RUS","Russia","CH4","Methane","C22-C23","Manufacture of rubber and plastic products and other non-metallic mineral products","TCO2E","tonnes of CO2-equivalent OECD estimate","COMBUSTION","Combustion","2016","2016",36990,,
"RUS","Russia","CH4","Methane","C22-C23","Manufacture of rubber and plastic products and other non-metallic mineral products","TCO2E","tonnes of CO2-equivalent OECD estimate","COMBUSTION","Combustion","2017","2017",33880,,
"RUS","Russia","CH4","Methane","C22-C23","Manufacture of rubber and plastic products and other non-metallic mineral products","TCO2E","tonnes of CO2-equivalent OECD estimate","COMBUSTION","Combustion","2018","2018",31390,,
"RUS","Russia","CH4","Methane","C22-C23","Manufacture of rubber and plastic products and other non-metallic mineral products","TCO2E","tonnes of CO2-equivalent OECD estimate","COMBUSTION","Combustion","2019","2019",31770,,
"RUS","Russia","N2O","Nitrous oxide","C22-C23","Manufacture of rubber and plastic products and other non-metallic mineral products","TCO2E","tonnes of CO2-equivalent OECD estimate","COMBUSTION","Combustion","2007","2007",13950,,
"RUS","Russia","N2O","Nitrous oxide","C22-C23","Manufacture of rubber and plastic products and other non-metallic mineral products","TCO2E","tonnes of CO2-equivalent OECD estimate","COMBUSTION","Combustion","2008","2008",47660,,
"RUS","Russia","N2O","Nitrous oxide","C22-C23","Manufacture of rubber and plastic products and other non-metallic mineral products","TCO2E","tonnes of CO2-equivalent OECD estimate","COMBUSTION","Combustion","2009","2009",42130,,
"RUS","Russia","N2O","Nitrous oxide","C22-C23","Manufacture of rubber and plastic products and other non-metallic mineral products","TCO2E","tonnes of CO2-equivalent OECD estimate","COMBUSTION","Combustion","2010","2010",40630,,
"RUS","Russia","N2O","Nitrous oxide","C22-C23","Manufacture of rubber and plastic products and other non-metallic mineral products","TCO2E","tonnes of CO2-equivalent OECD estimate","COMBUSTION","Combustion","2011","2011",46780,,
"RUS","Russia","N2O","Nitrous oxide","C22-C23","Manufacture of rubber and plastic products and other non-metallic mineral products","TCO2E","tonnes of CO2-equivalent OECD estimate","COMBUSTION","Combustion","2012","2012",50920,,
"RUS","Russia","N2O","Nitrous oxide","C22-C23","Manufacture of rubber and plastic products and other non-metallic mineral products","TCO2E","tonnes of CO2-equivalent OECD estimate","COMBUSTION","Combustion","2013","2013",48430,,
"RUS","Russia","N2O","Nitrous oxide","C22-C23","Manufacture of rubber and plastic products and other non-metallic mineral products","TCO2E","tonnes of CO2-equivalent OECD estimate","COMBUSTION","Combustion","2014","2014",48790,,
"RUS","Russia","N2O","Nitrous oxide","C22-C23","Manufacture of rubber and plastic products and other non-metallic mineral products","TCO2E","tonnes of CO2-equivalent OECD estimate","COMBUSTION","Combustion","2015","2015",45650,,
"RUS","Russia","N2O","Nitrous oxide","C22-C23","Manufacture of rubber and plastic products and other non-metallic mineral products","TCO2E","tonnes of CO2-equivalent OECD estimate","COMBUSTION","Combustion","2016","2016",48050,,
